Product Name,Price,Speed,Control,Weight (g)
Yasaka MaxWood,$49.95 ,93,70,90
Yasaka Overdrive,$45.95 ,89,75,90
Yasaka Silver All Wood,$41.95 ,82,85,87
Yasaka Silver Carbon,$59.95 ,99,70,90
Yasaka Silver Line 9 Wood,$41.95 ,102,70,90
Yasaka Sweden Classic,$38.69 ,68,92,82
Yasaka Sweden EK Carbon,$55.95 ,93,75,90
Yasaka Sweden EK Carbon - Chinese Penhol...,$55.95 ,93,75,90
Yasaka Sweden Extra  B ,$35.95 ,82,71,84
Yasaka Sweden Extra - Chinese Penhold,$35.95 ,82,71,86
Yasaka Sweden Guardian,$42.95 ,73,93,85
Yasaka Synergy,$49.95 ,98,69,82
Yasaka Synergy - Chinese Penhold,$39.95 ,98,69,82
